id;signature;num_occurences
0;000000001010000100011101;6
1;000000001111111000101010;10
2;000000101011100101100011;1
3;000000101110101011010011;6
4;000001000111011100000010;1
5;000001010110011101100101;1
6;000001100111110111010101;2
7;000001101001000001100111;1
8;000001101011011011001100;1
9;000001110101010111001001;1
10;000001111100001101011111;2
11;000010001001000001001000;2
12;000010010101111000011101;4
13;000010100101000101100011;1
14;000010110010111100000111;1
15;000010110101101100011011;1
16;000010111010000011111100;2
17;000011000000111101000001;1
18;000011001001010101000111;1
19;000011011101110111111111;2
20;000011100100001101000111;4
21;000011111110000000011000;3
22;000100000010000101011100;7
23;000100001110111100001000;7
24;000100001111100101110111;1
25;000100011000100000000100;3
26;000101100001010000001111;2
27;000101111001000010011001;8
28;000110000011011000111001;1
29;000110011000100011101100;1
30;000110011100110111000100;1
31;000110101100101001101001;4
32;000111001101001001101101;1
33;000111110011100001101111;1
34;000111110101100001011110;2
35;001000000011000001100101;5
36;001000000110101101100101;4
37;001000001011110001000110;5
38;001000100010011001010010;6
39;001000101000011101111010;1
40;001000101100100111110110;2
41;001000110001111011000001;1
42;001000110110001011011010;1
43;001001000100100001110101;1
44;001001001010010010010100;5
45;001001001011010001010010;1
46;001001100101000011001001;4
47;001001100101011100000000;1
48;001001101100000100101010;1
49;001001110111000010110001;6
50;001010000101101001010001;1
51;001010100000011111010000;2
52;001010110111010010111011;2
53;001011100011101100101100;2
54;001011110100110100100100;2
55;001011111100000100011010;3
56;001011111110010000110110;4
57;001100000101000101101011;4
58;001100001000110011110110;3
59;001100100011110101011111;4
60;001100101111000011111010;2
61;001100110011011001111110;1
62;001100110101110111111110;1
63;001101000100101110011101;1
64;001101000110011011110100;2
65;001101110101001110000100;1
66;001101111000001011011010;1
67;001101111100010011000110;3
68;001101111110100010111011;2
69;001110010111111110100000;2
70;001110011011010110000110;1
71;001110011110101111111010;3
72;001111001100000010100111;1
73;001111001101001110111000;1
74;001111010110111011011110;1
75;001111011101101100100100;1
76;001111100010100110100001;1
77;001111101110101100000011;5
78;010000010011110101001111;1
79;010000011001001110110001;1
80;010000101100110010111011;4
81;010000110101101011110100;1
82;010001001011010001000001;5
83;010001011100000010110011;2
84;010001011101101111110110;1
85;010001110000001110110101;1
86;010010001000111011001010;4
87;010010010000101011000111;3
88;010010100100010000010110;1
89;010011000101010101111111;1
90;010011001000010111000111;2
91;010011001000100001100100;1
92;010011001110111111011000;1
93;010011010011011110101111;3
94;010011010100101011100100;8
95;010011010100110001100010;1
96;010011010100110010111010;1
97;010011010101011000100011;1
98;010011100100111101001101;2
99;010011101111100100101001;1
100;010011101111110100101101;1
101;010011111010010110010001;6
102;010100001001001000010001;4
103;010100001010110010011111;5
104;010100011110111010011000;1
105;010100100100100110101100;4
106;010100100111101110110110;6
107;010100111000011100000111;5
108;010101001011111001010110;10
109;010101111001111111111010;1
110;010110001010001111010101;1
111;010110001111011000001100;2
112;010110100001111100100101;6
113;010110110101100010100000;1
114;010110111010100111100010;1
